claim_id,group_id,split,kind,claim_text,source_file,source_location,candidate_refs,consensus_refs,gold_action,category,numeric_conflict_note,reviewer_decision,reviewer_refs,reviewer_category,reviewer_note
lw-016-01,longword-02,dev,quote,本期销售额为125万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 16]",sales_current,sales_current,link,ordinary,否,,,,
lw-016-02,longword-02,dev,growth,较上期增长25%,长文Word测试\长文测试_原始报告.docx,"[""p"", 16]","sales_prev,sales_current","sales_prev,sales_current",link,ordinary,否,,,,
lw-016-03,longword-02,dev,threshold,超过120万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 16]",sales_current,sales_current,link,ordinary,否,,,,
lw-018-01,longword-02,dev,growth,本期销售额较上期增长,长文Word测试\长文测试_原始报告.docx,"[""p"", 18]","sales_prev,sales_current","sales_prev,sales_current",link,ordinary,否,,,,
lw-018-02,longword-02,dev,threshold,本期销售额超过80万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 18]",sales_current,sales_current,link,ordinary,否,,,,
lw-019-01,longword-02,dev,ranking,A产品销量最高,长文Word测试\长文测试_原始报告.docx,"[""p"", 19]","product_a,product_b","product_a,product_b",link,ordinary,否,,,,
lw-019-02,longword-02,dev,threshold,支出未超过预算,长文Word测试\长文测试_原始报告.docx,"[""p"", 19]","spending,budget","spending,budget",link,ordinary,否,,,,
lw-020-01,longword-02,dev,quote,本期支出为80万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 20]",spending,spending,link,ordinary,是,,,,
lw-020-02,longword-02,dev,quote,本期预算为100万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 20]",budget,budget,link,ordinary,否,,,,
lw-022-01,longword-02,dev,quote,本期销售额为125万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 22]",sales_current,sales_current,link,ordinary,否,,,,
lw-022-02,longword-02,dev,threshold,本期支出低于100万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 22]",spending,spending,link,ordinary,是,,,,
lw-028-01,longword-03,dev,quote,本期销售额为125万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 28]",sales_current,sales_current,link,ordinary,否,,,,
lw-028-02,longword-03,dev,growth,较上期增长25%,长文Word测试\长文测试_原始报告.docx,"[""p"", 28]","sales_prev,sales_current","sales_prev,sales_current",link,ordinary,否,,,,
lw-028-03,longword-03,dev,threshold,超过120万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 28]",sales_current,sales_current,link,ordinary,否,,,,
lw-030-01,longword-03,dev,growth,本期销售额较上期增长,长文Word测试\长文测试_原始报告.docx,"[""p"", 30]","sales_prev,sales_current","sales_prev,sales_current",link,ordinary,否,,,,
lw-030-02,longword-03,dev,threshold,本期销售额超过80万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 30]",sales_current,sales_current,link,ordinary,否,,,,
lw-031-01,longword-03,dev,ranking,A产品销量最高,长文Word测试\长文测试_原始报告.docx,"[""p"", 31]","product_a,product_b","product_a,product_b",link,ordinary,否,,,,
lw-031-02,longword-03,dev,threshold,支出未超过预算,长文Word测试\长文测试_原始报告.docx,"[""p"", 31]","spending,budget","spending,budget",link,ordinary,否,,,,
lw-032-01,longword-03,dev,quote,本期支出为80万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 32]",spending,spending,link,ordinary,是,,,,
lw-032-02,longword-03,dev,quote,本期预算为100万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 32]",budget,budget,link,ordinary,否,,,,
lw-034-01,longword-03,dev,quote,本期销售额为125万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 34]",sales_current,sales_current,link,ordinary,否,,,,
lw-034-02,longword-03,dev,threshold,本期支出低于100万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 34]",spending,spending,link,ordinary,是,,,,
lw-040-01,longword-03,dev,quote,本期销售额为125万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 40]",sales_current,sales_current,link,ordinary,否,,,,
lw-040-02,longword-03,dev,growth,较上期增长25%,长文Word测试\长文测试_原始报告.docx,"[""p"", 40]","sales_prev,sales_current","sales_prev,sales_current",link,ordinary,否,,,,
lw-040-03,longword-03,dev,threshold,超过120万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 40]",sales_current,sales_current,link,ordinary,否,,,,
lw-042-01,longword-04,dev,growth,本期销售额较上期增长,长文Word测试\长文测试_原始报告.docx,"[""p"", 42]","sales_prev,sales_current","sales_prev,sales_current",link,ordinary,否,,,,
lw-042-02,longword-04,dev,threshold,本期销售额超过80万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 42]",sales_current,sales_current,link,ordinary,否,,,,
lw-043-01,longword-04,dev,ranking,A产品销量最高,长文Word测试\长文测试_原始报告.docx,"[""p"", 43]","product_a,product_b","product_a,product_b",link,ordinary,否,,,,
lw-043-02,longword-04,dev,threshold,支出未超过预算,长文Word测试\长文测试_原始报告.docx,"[""p"", 43]","spending,budget","spending,budget",link,ordinary,否,,,,
lw-044-01,longword-04,dev,quote,本期支出为80万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 44]",spending,spending,link,ordinary,是,,,,
lw-044-02,longword-04,dev,quote,本期预算为100万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 44]",budget,budget,link,ordinary,否,,,,
lw-046-01,longword-04,dev,quote,本期销售额为125万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 46]",sales_current,sales_current,link,ordinary,否,,,,
lw-046-02,longword-04,dev,threshold,本期支出低于100万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 46]",spending,spending,link,ordinary,是,,,,
lw-052-01,longword-04,dev,quote,本期销售额为125万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 52]",sales_current,sales_current,link,ordinary,否,,,,
lw-052-02,longword-04,dev,growth,较上期增长25%,长文Word测试\长文测试_原始报告.docx,"[""p"", 52]","sales_prev,sales_current","sales_prev,sales_current",link,ordinary,否,,,,
lw-052-03,longword-04,dev,threshold,超过120万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 52]",sales_current,sales_current,link,ordinary,否,,,,
lw-054-01,longword-04,dev,growth,本期销售额较上期增长,长文Word测试\长文测试_原始报告.docx,"[""p"", 54]","sales_prev,sales_current","sales_prev,sales_current",link,ordinary,否,,,,
lw-054-02,longword-04,dev,threshold,本期销售额超过80万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 54]",sales_current,sales_current,link,ordinary,否,,,,
lw-055-01,longword-04,dev,ranking,A产品销量最高,长文Word测试\长文测试_原始报告.docx,"[""p"", 55]","product_a,product_b","product_a,product_b",link,ordinary,否,,,,
lw-055-02,longword-04,dev,threshold,支出未超过预算,长文Word测试\长文测试_原始报告.docx,"[""p"", 55]","spending,budget","spending,budget",link,ordinary,否,,,,
lw-056-01,longword-05,dev,quote,本期支出为80万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 56]",spending,spending,link,ordinary,是,,,,
lw-056-02,longword-05,dev,quote,本期预算为100万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 56]",budget,budget,link,ordinary,否,,,,
lw-058-01,longword-05,dev,quote,本期销售额为125万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 58]",sales_current,sales_current,link,ordinary,否,,,,
lw-058-02,longword-05,dev,threshold,本期支出低于100万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 58]",spending,spending,link,ordinary,是,,,,
lw-064-01,longword-05,dev,quote,本期销售额为125万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 64]",sales_current,sales_current,link,ordinary,否,,,,
lw-064-02,longword-05,dev,growth,较上期增长25%,长文Word测试\长文测试_原始报告.docx,"[""p"", 64]","sales_prev,sales_current","sales_prev,sales_current",link,ordinary,否,,,,
lw-064-03,longword-05,dev,threshold,超过120万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 64]",sales_current,sales_current,link,ordinary,否,,,,
lw-066-01,longword-05,dev,growth,本期销售额较上期增长,长文Word测试\长文测试_原始报告.docx,"[""p"", 66]","sales_prev,sales_current","sales_prev,sales_current",link,ordinary,否,,,,
lw-066-02,longword-05,dev,threshold,本期销售额超过80万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 66]",sales_current,sales_current,link,ordinary,否,,,,
lw-067-01,longword-05,dev,ranking,A产品销量最高,长文Word测试\长文测试_原始报告.docx,"[""p"", 67]","product_a,product_b","product_a,product_b",link,ordinary,否,,,,
lw-067-02,longword-05,dev,threshold,支出未超过预算,长文Word测试\长文测试_原始报告.docx,"[""p"", 67]","spending,budget","spending,budget",link,ordinary,否,,,,
lw-068-01,longword-05,dev,quote,本期支出为80万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 68]",spending,spending,link,ordinary,是,,,,
lw-068-02,longword-05,dev,quote,本期预算为100万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 68]",budget,budget,link,ordinary,否,,,,
lw-070-01,longword-06,dev,quote,本期销售额为125万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 70]",sales_current,sales_current,link,ordinary,否,,,,
lw-070-02,longword-06,dev,threshold,本期支出低于100万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 70]",spending,spending,link,ordinary,是,,,,
lw-076-01,longword-06,dev,quote,本期销售额为125万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 76]",sales_current,sales_current,link,ordinary,否,,,,
lw-076-02,longword-06,dev,growth,较上期增长25%,长文Word测试\长文测试_原始报告.docx,"[""p"", 76]","sales_prev,sales_current","sales_prev,sales_current",link,ordinary,否,,,,
lw-076-03,longword-06,dev,threshold,超过120万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 76]",sales_current,sales_current,link,ordinary,否,,,,
lw-078-01,longword-06,dev,growth,本期销售额较上期增长,长文Word测试\长文测试_原始报告.docx,"[""p"", 78]","sales_prev,sales_current","sales_prev,sales_current",link,ordinary,否,,,,
lw-078-02,longword-06,dev,threshold,本期销售额超过80万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 78]",sales_current,sales_current,link,ordinary,否,,,,
lw-079-01,longword-06,dev,ranking,A产品销量最高,长文Word测试\长文测试_原始报告.docx,"[""p"", 79]","product_a,product_b","product_a,product_b",link,ordinary,否,,,,
lw-079-02,longword-06,dev,threshold,支出未超过预算,长文Word测试\长文测试_原始报告.docx,"[""p"", 79]","spending,budget","spending,budget",link,ordinary,否,,,,
lw-080-01,longword-06,dev,quote,本期支出为80万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 80]",spending,spending,link,ordinary,是,,,,
lw-080-02,longword-06,dev,quote,本期预算为100万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 80]",budget,budget,link,ordinary,否,,,,
lw-082-01,longword-06,dev,quote,本期销售额为125万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 82]",sales_current,sales_current,link,ordinary,否,,,,
lw-082-02,longword-06,dev,threshold,本期支出低于100万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 82]",spending,spending,link,ordinary,是,,,,
lw-088-01,longword-07,dev,quote,本期销售额为125万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 88]",sales_current,sales_current,link,ordinary,否,,,,
lw-088-02,longword-07,dev,growth,较上期增长25%,长文Word测试\长文测试_原始报告.docx,"[""p"", 88]","sales_prev,sales_current","sales_prev,sales_current",link,ordinary,否,,,,
lw-088-03,longword-07,dev,threshold,超过120万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 88]",sales_current,sales_current,link,ordinary,否,,,,
lw-090-01,longword-07,dev,growth,本期销售额较上期增长,长文Word测试\长文测试_原始报告.docx,"[""p"", 90]","sales_prev,sales_current","sales_prev,sales_current",link,ordinary,否,,,,
lw-090-02,longword-07,dev,threshold,本期销售额超过80万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 90]",sales_current,sales_current,link,ordinary,否,,,,
lw-091-01,longword-07,dev,ranking,A产品销量最高,长文Word测试\长文测试_原始报告.docx,"[""p"", 91]","product_a,product_b","product_a,product_b",link,ordinary,否,,,,
lw-091-02,longword-07,dev,threshold,支出未超过预算,长文Word测试\长文测试_原始报告.docx,"[""p"", 91]","spending,budget","spending,budget",link,ordinary,否,,,,
lw-092-01,longword-07,dev,quote,本期支出为80万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 92]",spending,spending,link,ordinary,是,,,,
lw-092-02,longword-07,dev,quote,本期预算为100万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 92]",budget,budget,link,ordinary,否,,,,
lw-094-01,longword-07,dev,quote,本期销售额为125万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 94]",sales_current,sales_current,link,ordinary,否,,,,
lw-094-02,longword-07,dev,threshold,本期支出低于100万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 94]",spending,spending,link,ordinary,是,,,,
lw-100-01,longword-08,dev,quote,本期销售额为125万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 100]",sales_current,sales_current,link,ordinary,否,,,,
lw-100-02,longword-08,dev,growth,较上期增长25%,长文Word测试\长文测试_原始报告.docx,"[""p"", 100]","sales_prev,sales_current","sales_prev,sales_current",link,ordinary,否,,,,
lw-100-03,longword-08,dev,threshold,超过120万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 100]",sales_current,sales_current,link,ordinary,否,,,,
lw-102-01,longword-08,dev,growth,本期销售额较上期增长,长文Word测试\长文测试_原始报告.docx,"[""p"", 102]","sales_prev,sales_current","sales_prev,sales_current",link,ordinary,否,,,,
lw-102-02,longword-08,dev,threshold,本期销售额超过80万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 102]",sales_current,sales_current,link,ordinary,否,,,,
lw-103-01,longword-08,dev,ranking,A产品销量最高,长文Word测试\长文测试_原始报告.docx,"[""p"", 103]","product_a,product_b","product_a,product_b",link,ordinary,否,,,,
lw-103-02,longword-08,dev,threshold,支出未超过预算,长文Word测试\长文测试_原始报告.docx,"[""p"", 103]","spending,budget","spending,budget",link,ordinary,否,,,,
lw-104-01,longword-08,dev,quote,本期支出为80万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 104]",spending,spending,link,ordinary,是,,,,
lw-104-02,longword-08,dev,quote,本期预算为100万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 104]",budget,budget,link,ordinary,否,,,,
lw-106-01,longword-08,dev,quote,本期销售额为125万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 106]",sales_current,sales_current,link,ordinary,否,,,,
lw-106-02,longword-08,dev,threshold,本期支出低于100万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 106]",spending,spending,link,ordinary,是,,,,
lw-112-01,longword-09,dev,quote,本期销售额为125万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 112]",sales_current,sales_current,link,ordinary,否,,,,
lw-112-02,longword-09,dev,growth,较上期增长25%,长文Word测试\长文测试_原始报告.docx,"[""p"", 112]","sales_prev,sales_current","sales_prev,sales_current",link,ordinary,否,,,,
lw-112-03,longword-09,dev,threshold,超过120万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 112]",sales_current,sales_current,link,ordinary,否,,,,
lw-114-01,longword-09,dev,growth,本期销售额较上期增长,长文Word测试\长文测试_原始报告.docx,"[""p"", 114]","sales_prev,sales_current","sales_prev,sales_current",link,ordinary,否,,,,
lw-114-02,longword-09,dev,threshold,本期销售额超过80万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 114]",sales_current,sales_current,link,ordinary,否,,,,
lw-115-01,longword-09,dev,ranking,A产品销量最高,长文Word测试\长文测试_原始报告.docx,"[""p"", 115]","product_a,product_b","product_a,product_b",link,ordinary,否,,,,
lw-115-02,longword-09,dev,threshold,支出未超过预算,长文Word测试\长文测试_原始报告.docx,"[""p"", 115]","spending,budget","spending,budget",link,ordinary,否,,,,
lw-116-01,longword-09,dev,quote,本期支出为80万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 116]",spending,spending,link,ordinary,是,,,,
lw-116-02,longword-09,dev,quote,本期预算为100万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 116]",budget,budget,link,ordinary,否,,,,
lw-118-01,longword-09,dev,quote,本期销售额为125万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 118]",sales_current,sales_current,link,ordinary,否,,,,
lw-118-02,longword-09,dev,threshold,本期支出低于100万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 118]",spending,spending,link,ordinary,是,,,,
lw-124-01,longword-09,dev,quote,本期销售额为125万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 124]",sales_current,sales_current,link,ordinary,否,,,,
lw-124-02,longword-09,dev,growth,较上期增长25%,长文Word测试\长文测试_原始报告.docx,"[""p"", 124]","sales_prev,sales_current","sales_prev,sales_current",link,ordinary,否,,,,
lw-124-03,longword-09,dev,threshold,超过120万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 124]",sales_current,sales_current,link,ordinary,否,,,,
lw-126-01,longword-10,dev,growth,本期销售额较上期增长,长文Word测试\长文测试_原始报告.docx,"[""p"", 126]","sales_prev,sales_current","sales_prev,sales_current",link,ordinary,否,,,,
lw-126-02,longword-10,dev,threshold,本期销售额超过80万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 126]",sales_current,sales_current,link,ordinary,否,,,,
lw-127-01,longword-10,dev,ranking,A产品销量最高,长文Word测试\长文测试_原始报告.docx,"[""p"", 127]","product_a,product_b","product_a,product_b",link,ordinary,否,,,,
lw-127-02,longword-10,dev,threshold,支出未超过预算,长文Word测试\长文测试_原始报告.docx,"[""p"", 127]","spending,budget","spending,budget",link,ordinary,否,,,,
lw-128-01,longword-10,dev,quote,本期支出为80万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 128]",spending,spending,link,ordinary,是,,,,
lw-128-02,longword-10,dev,quote,本期预算为100万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 128]",budget,budget,link,ordinary,否,,,,
lw-130-01,longword-10,dev,quote,本期销售额为125万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 130]",sales_current,sales_current,link,ordinary,否,,,,
lw-130-02,longword-10,dev,threshold,本期支出低于100万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 130]",spending,spending,link,ordinary,是,,,,
lw-136-01,longword-10,dev,quote,本期销售额为125万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 136]",sales_current,sales_current,link,ordinary,否,,,,
lw-136-02,longword-10,dev,growth,较上期增长25%,长文Word测试\长文测试_原始报告.docx,"[""p"", 136]","sales_prev,sales_current","sales_prev,sales_current",link,ordinary,否,,,,
lw-136-03,longword-10,dev,threshold,超过120万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 136]",sales_current,sales_current,link,ordinary,否,,,,
lw-138-01,longword-10,dev,growth,本期销售额较上期增长,长文Word测试\长文测试_原始报告.docx,"[""p"", 138]","sales_prev,sales_current","sales_prev,sales_current",link,ordinary,否,,,,
lw-138-02,longword-10,dev,threshold,本期销售额超过80万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 138]",sales_current,sales_current,link,ordinary,否,,,,
lw-139-01,longword-10,dev,ranking,A产品销量最高,长文Word测试\长文测试_原始报告.docx,"[""p"", 139]","product_a,product_b","product_a,product_b",link,ordinary,否,,,,
lw-139-02,longword-10,dev,threshold,支出未超过预算,长文Word测试\长文测试_原始报告.docx,"[""p"", 139]","spending,budget","spending,budget",link,ordinary,否,,,,
lw-140-01,longword-11,dev,quote,本期支出为80万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 140]",spending,spending,link,ordinary,是,,,,
lw-140-02,longword-11,dev,quote,本期预算为100万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 140]",budget,budget,link,ordinary,否,,,,
lw-142-01,longword-11,dev,quote,本期销售额为125万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 142]",sales_current,sales_current,link,ordinary,否,,,,
lw-142-02,longword-11,dev,threshold,本期支出低于100万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 142]",spending,spending,link,ordinary,是,,,,
lw-148-01,longword-11,dev,quote,本期销售额为125万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 148]",sales_current,sales_current,link,ordinary,否,,,,
lw-148-02,longword-11,dev,growth,较上期增长25%,长文Word测试\长文测试_原始报告.docx,"[""p"", 148]","sales_prev,sales_current","sales_prev,sales_current",link,ordinary,否,,,,
lw-148-03,longword-11,dev,threshold,超过120万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 148]",sales_current,sales_current,link,ordinary,否,,,,
lw-150-01,longword-11,dev,growth,本期销售额较上期增长,长文Word测试\长文测试_原始报告.docx,"[""p"", 150]","sales_prev,sales_current","sales_prev,sales_current",link,ordinary,否,,,,
lw-150-02,longword-11,dev,threshold,本期销售额超过80万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 150]",sales_current,sales_current,link,ordinary,否,,,,
lw-151-01,longword-11,dev,ranking,A产品销量最高,长文Word测试\长文测试_原始报告.docx,"[""p"", 151]","product_a,product_b","product_a,product_b",link,ordinary,否,,,,
lw-151-02,longword-11,dev,threshold,支出未超过预算,长文Word测试\长文测试_原始报告.docx,"[""p"", 151]","spending,budget","spending,budget",link,ordinary,否,,,,
lw-152-01,longword-11,dev,quote,本期支出为80万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 152]",spending,spending,link,ordinary,是,,,,
lw-152-02,longword-11,dev,quote,本期预算为100万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 152]",budget,budget,link,ordinary,否,,,,
lw-154-01,longword-12,dev,quote,本期销售额为125万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 154]",sales_current,sales_current,link,ordinary,否,,,,
lw-154-02,longword-12,dev,threshold,本期支出低于100万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 154]",spending,spending,link,ordinary,是,,,,
lw-160-01,longword-12,dev,quote,本期销售额为125万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 160]",sales_current,sales_current,link,ordinary,否,,,,
lw-160-02,longword-12,dev,growth,较上期增长25%,长文Word测试\长文测试_原始报告.docx,"[""p"", 160]","sales_prev,sales_current","sales_prev,sales_current",link,ordinary,否,,,,
lw-160-03,longword-12,dev,threshold,超过120万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 160]",sales_current,sales_current,link,ordinary,否,,,,
lw-162-01,longword-12,dev,growth,本期销售额较上期增长,长文Word测试\长文测试_原始报告.docx,"[""p"", 162]","sales_prev,sales_current","sales_prev,sales_current",link,ordinary,否,,,,
lw-162-02,longword-12,dev,threshold,本期销售额超过80万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 162]",sales_current,sales_current,link,ordinary,否,,,,
lw-163-01,longword-12,dev,ranking,A产品销量最高,长文Word测试\长文测试_原始报告.docx,"[""p"", 163]","product_a,product_b","product_a,product_b",link,ordinary,否,,,,
lw-163-02,longword-12,dev,threshold,支出未超过预算,长文Word测试\长文测试_原始报告.docx,"[""p"", 163]","spending,budget","spending,budget",link,ordinary,否,,,,
lw-164-01,longword-12,dev,quote,本期支出为80万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 164]",spending,spending,link,ordinary,是,,,,
lw-164-02,longword-12,dev,quote,本期预算为100万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 164]",budget,budget,link,ordinary,否,,,,
lw-166-01,longword-12,dev,quote,本期销售额为125万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 166]",sales_current,sales_current,link,ordinary,否,,,,
lw-166-02,longword-12,dev,threshold,本期支出低于100万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 166]",spending,spending,link,ordinary,是,,,,
lw-172-01,longword-13,dev,quote,本期销售额为125万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 172]",sales_current,sales_current,link,ordinary,否,,,,
lw-172-02,longword-13,dev,growth,较上期增长25%,长文Word测试\长文测试_原始报告.docx,"[""p"", 172]","sales_prev,sales_current","sales_prev,sales_current",link,ordinary,否,,,,
lw-172-03,longword-13,dev,threshold,超过120万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 172]",sales_current,sales_current,link,ordinary,否,,,,
lw-174-01,longword-13,dev,growth,本期销售额较上期增长,长文Word测试\长文测试_原始报告.docx,"[""p"", 174]","sales_prev,sales_current","sales_prev,sales_current",link,ordinary,否,,,,
lw-174-02,longword-13,dev,threshold,本期销售额超过80万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 174]",sales_current,sales_current,link,ordinary,否,,,,
lw-175-01,longword-13,dev,ranking,A产品销量最高,长文Word测试\长文测试_原始报告.docx,"[""p"", 175]","product_a,product_b","product_a,product_b",link,ordinary,否,,,,
lw-175-02,longword-13,dev,threshold,支出未超过预算,长文Word测试\长文测试_原始报告.docx,"[""p"", 175]","spending,budget","spending,budget",link,ordinary,否,,,,
lw-176-01,longword-13,dev,quote,本期支出为80万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 176]",spending,spending,link,ordinary,是,,,,
lw-176-02,longword-13,dev,quote,本期预算为100万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 176]",budget,budget,link,ordinary,否,,,,
lw-178-01,longword-13,dev,quote,本期销售额为125万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 178]",sales_current,sales_current,link,ordinary,否,,,,
lw-178-02,longword-13,dev,threshold,本期支出低于100万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 178]",spending,spending,link,ordinary,是,,,,
lw-184-01,longword-14,dev,quote,本期销售额为125万元,长文Word测试\长文测试_原始报告.docx,"[""p"", 184]",sales_current,sales_current,link,ordinary,否,,,,
lw-184-02,longword-14,dev,growth,较上期增长25%,长文Word测试\长文测试_原始报告.docx,"[""p"", 184]","sales_prev,sales_current","sales_prev,sales_current",link,ordinary,否,,,,
